name,3_grams_1,3_grams_2,3_grams_3
Enmotus-Dave-Cohen,Merge branch 'master',branch 'master' of,'master' of https://github.com/david-cohen/diskspd
David Cohen,Merge pull request,pull request #20,request #20 from
David Cohen,Merge pull request,pull request #21,request #21 from
sjmiller7,Update README.md,README.md,
Luke,readme,,
Andrey Castro,[:pushpin:] Pinning Odoo,Pinning Odoo docker,Odoo docker image
Danilo Margarido,Don't install recommended,install recommended packages,recommended packages alongside
Raj Kadam,Blockmodo housekeeping! Coin,housekeeping! Coin count,Coin count update!
blensink192,Upload “/assets/uploads/arielview.png”,“/assets/uploads/arielview.png”,
Felipe D. Santos,Imagens,,
jekyllvn,Update footer.html,footer.html,
sunbysea,update,,
Dongbo Wang,Add more tests,more tests,tests
Dongbo Wang,Preserve the _savedCurrentLine,the _savedCurrentLine and,_savedCurrentLine and _currentHistoryIndex
hydra3333,Add files via,files via upload,via upload
Leonard Shen,updated colors and,colors and chart,and chart height
Michael Dickens,cppunit: update to,"update to 1.15.1

Remove","to 1.15.1

Remove integrated"
Michael Dickens,inspectrum: update to,update to 20191102-d6115cb4,to 20191102-d6115cb4
Michael Dickens,CubicSDR: update to,update to 20191230-45fe1a9f,to 20191230-45fe1a9f
Michael Dickens,py-numpy: update to,update to 1.18.0,to 1.18.0
MitchellMarkGeorge,finnaly figured out,figured out UI,out UI strategy
Kathy Warne,Escape file extension,file extension dot,extension dot
qbert,Update style.scss,style.scss,
AC De Leon,[*] README-FORMAT.md 🌱,README-FORMAT.md 🌱,🌱
Timur Mishiev,Automatically backed up,backed up by,up by Learn
snowmint,hw6-4 half,half,
vantage,Added generated web,generated web files,web files
BAKAOLC,update,,
Dak Smyth,Fix OPPM thingy,OPPM thingy,thingy
czhang2718,Add files via,files via upload,via upload
sesheta,Routine Docs Update,Docs Update,Update
Travis,[Autosave] Testing for,Testing for Ultimate,for Ultimate Hosts
despottt,put code that,code that worked,that worked where
LavamasterYT,Delete work.html,work.html,
Chelle Gentemann,updated to include,to include AVISO,include AVISO instead
WillHoll,small change to,change to sweet,to sweet alert
blensink192,Upload “/assets/uploads/clairo.png”,“/assets/uploads/clairo.png”,
will,Upload by PicGo,by PicGo,PicGo
trimstray,minor fix (external,"fix (external resources)
-","(external resources)
- signed-off-by:"
Steven A. Silva,links updated,updated,
Justin Mooney,Fix eslint react,eslint react version,react version not
li-xie,modified to allow,to allow number,allow number of
LavamasterYT,Delete work.html,work.html,
Darren Smith,updated package version,package version to,version to 0.1.1
yuki-snow1823,Update README.md,README.md,
Ezequiel Alécio Ribeiro,Delete pingcool.keystore,pingcool.keystore,
Bot,update,,
DonneyF,Update README.md,README.md,
BBiBoot,bossDB,,
arkadyt,Expose correct port,correct port,port
Daniel Hampikian,template built,built,
Marco Acierno,Hotels,,
vijay,Update README.md,README.md,
vijaymalla,Initial from fork,from fork,fork
vijaymalla,fork,,
vijaymalla,material ui,ui,
vijaymalla,shadows,,
vijaymalla,gradient,,
vijaymalla,Gradiant Backgroung,Backgroung,
vijaymalla,vijay Master Merge,Master Merge,Merge
SandeepAmarnath,Merge branch 'master',branch 'master' into,'master' into master
SandeepAmarnath,Merge pull request,pull request #2,request #2 from
James Harrison,Generated from sources,from sources,sources
Danilo Margarido,`set -e` to,-e` to improve,to improve robustness
ericmassara,template1,,
ericmassara,Merge branch 'master',branch 'master' of,'master' of https://github.com/ericmassara/ericmassara.github.io
dre,tests,,
donaldsouza,message_2020-01-01T00:42:14,,
Dominik Wilkowski,"updated dependencies, fixed","dependencies, fixed nuke","fixed nuke script

Signed-off-by:"
giri,new job result,job result update,result update
johnson chidubem,added 2019 to,2019 to 2020,to 2020
Mike Aleksiuk,Get to test,to test 17,test 17 by
sjmiller7,Update index.html,index.html,
A-312,Add documentation about,documentation about custom,about custom getter
Docker Library Bot,Run update.sh (arm32v5,update.sh (arm32v5 --,(arm32v5 -- https://hub.docker.com/u/arm32v5/)
Esat,exam.php php construction,php construction,construction
Mubaraq Wahab,Merge branch 'manage2',branch 'manage2' into,'manage2' into manage
Mubaraq Wahab,Change comment to,comment to html,to html type
Davis Junior,++added deleting accounts,deleting accounts,accounts
Davis Junior,++completed updating user,updating user,user
Davis Junior,++completed password request,password request and,request and password
ohman-23,footer positioning update,positioning update,update
Quentin McGaw (desktop),GetContent uses setter,uses setter pattern,setter pattern
onedrawingperday,Update Themes,Themes,
Matt Cavallo,Update NET_Framework_Check.psm1,NET_Framework_Check.psm1,
blensink192,Upload “/assets/uploads/crj.png”,“/assets/uploads/crj.png”,
John Leider,chore(README): update information,update information for,information for root
meghapsimatrix,update vignette,vignette,
堀江仁貴,Update netlify.toml,netlify.toml,
Maximb,resp,,
rmcaves,modified travis.yml,travis.yml,
rmcaves,Merge branch 'master',branch 'master' of,'master' of github.com:rmcaves/multidockers
Christopher Sannar,Another update. Still,update. Still working,Still working on
zqf,Tagging cells that,cells that are,that are the
Danilo Margarido,It's a trap!,a trap!,trap!
madzikdek,Tower minigame,minigame,
wafuwafu13,カラムを複数削除,,
TagawaHirotaka,Merge pull request,pull request #129,request #129 from
blensink192,Upload “/assets/uploads/gibbsmadlib.png”,“/assets/uploads/gibbsmadlib.png”,
Michel Heily,"[wip] Optimize Gba::frame

Profiling","Optimize Gba::frame

Profiling Gba::frame","Gba::frame

Profiling Gba::frame shows"
sunete,some changes,changes,
Josh Bielick,use correct gemfile,correct gemfile when,gemfile when running
Arne Roomann-Kurrik,Remove grunt from,grunt from build,from build process
Logan Perry-Din,Create README,README,
george,add jgd to,jgd to deploy,to deploy
Kailana Kahawaii,Automatically backed up,backed up by,up by Learn
bors,Updating crate `protobuf-codegen-pure#2.10.0`,crate `protobuf-codegen-pure#2.10.0`,`protobuf-codegen-pure#2.10.0`
Rommel Haynes,Automatically backed up,backed up by,up by Learn
Peter Davison-Reiber,Highlight test,test,
Murata Gulube,take 3 back,3 back to,back to take
root,AC,,
5john,2020/01/01 00:42:26 ,00:42:26  ,  
chosim-dev,bossDB,,
12138xs,Delete sort,sort,
Ned Twigg,Update changelog.,changelog.,
ensorcell,Update index.md,index.md,
blensink192,Upload “/assets/uploads/jamesblake.png”,“/assets/uploads/jamesblake.png”,
guangcheng139,订单处理与测试,,
guangcheng139,Merge branch 'master',branch 'master' of,'master' of https://github.com/W190601J/dev3
Eqrly,Create Procfile,Procfile,
Martin Siggel,Build tixi for,tixi for python,for python 3.7
Namo.Lu,LeetCode#280 update,update,
Garrett Cullen,push,,
Deployment Bot (from Travis CI),Deploy Tyler-Duckworth/tyler-duckworth.github.io to,Tyler-Duckworth/tyler-duckworth.github.io to github.com/Tyler-Duckworth/tyler-duckworth.github.io.git:master,to github.com/Tyler-Duckworth/tyler-duckworth.github.io.git:master
Tanner,last commit before,commit before handling,before handling scanner
prembg,Updates,,
chosim-dev,bossDB,,
Su lianggang,init 初始化,初始化,
John Caron,protected name,name,
luckydan61,Delete HelloWorld.class,HelloWorld.class,
Travis CI,Travis build 979,build 979,979
Spencer Wood,Allow one to,one to increase,to increase the
mxnet-ci,Publish triggered by,triggered by CI,by CI
hassen,refresh button,button,
hassen,much better,better,
Frotty,Update ChunkedString.wurst,ChunkedString.wurst,
mxnet-ci,Bump the publish,the publish timestamp.,publish timestamp.
sourceconnect-tests,e2e test 2020-01-01T00:42:17.965554,test 2020-01-01T00:42:17.965554,2020-01-01T00:42:17.965554
Brandon Lee,up,,
Damian Morgan,updated the rest,the rest of,rest of the
Yang Zhang,Use .bin as,.bin as binary,as binary extension.
Ross Borchers,Update README.md,README.md,
GitYatto,add chat UI,chat UI,UI
KWhiting,dynamically add and,add and remove,and remove folder
KWhiting,couple of issue,of issue fixes,issue fixes
AsteroidTracker,AsteroidTracker Update News,Update News,News
Max Kuhn,move back to,back to using,to using pROC::roc
Max Kuhn,doc refresh,refresh,
Danilo Margarido,"Whoops, explicitly use",explicitly use bash,use bash
wessilfie,rebuild pages,pages,
mapcat,Update ar.ar011b.wpt,ar.ar011b.wpt,
Deployment Bot (from Travis CI),Deploy NIHDataScienceSIG/nihdatasciencesig.github.io to,NIHDataScienceSIG/nihdatasciencesig.github.io to github.com/NIHDataScienceSIG/nihdatasciencesig.github.io.git:master,to github.com/NIHDataScienceSIG/nihdatasciencesig.github.io.git:master
Christian Urich,make loading of,loading of modules,of modules work
atiframlee,Update db.json,db.json,
SRK HOST,Update entrypoint.sh,entrypoint.sh,
OgarPlus,Add files via,files via upload,via upload
87591,log,,
87591,log,,
Chukwuemeka O Ike,Info for parking,for parking algo,parking algo
jinghuijuan8,log,,
jinghuijuan9,log,,
Rajab Natshah,Fix get File,get File From,File From URL
samir2088,Update config.json,config.json,
Niclas Olofsson,Return alternative root,"alternative root tag,","root tag, not"
jinghuijuan8,log,,
jinghuijuan11,log,,
houbinbin87591,log,,
jinghuijuan6,log,,
unklebonehead,Updates and post,and post ep21,post ep21
jinghuijuan4,log,,
Weave Flux,Auto-release 164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:b5d9da18,164382793440.dkr.ecr.us-west-2.amazonaws.com/eks-primer:b5d9da18,
jinghuijuan11,log,,
Jennifer Huang,[blog] Refine format,Refine format issues,format issues for
Jennifer Huang,[blog] Add blog,Add blog on,blog on Pulsar
Antoine Comte,Fix Typo (#5864),Typo (#5864),(#5864)
Jia Zhai,fix 5825: make,5825: make PulsarClusterMetadataSetup,make PulsarClusterMetadataSetup idempotent
SakaSun,[Issue 5857][Helm Chart],5857][Helm Chart] -,Chart] - Support
Jia Zhai,fix some typos,"some typos (#5889)

fix","typos (#5889)

fix some"
Fred Eisele,Added catch for,catch for NoClassDefFoundError,for NoClassDefFoundError wherever
tuteng,[Pulsar Client Tools]Support,Client Tools]Support generate,Tools]Support generate documentation
Jerry Fan,avoid unsafe split,unsafe split when,split when validate
huangdx0726,[Issue 5612] Use,5612] Use Reactivestreams,Use Reactivestreams client
tuteng,[Issue 5832][Pulsar IO]Fix,5832][Pulsar IO]Fix npe,IO]Fix npe of
cckellogg,Use BOOKIE_MEM and,BOOKIE_MEM and BOOKIE_GC,and BOOKIE_GC env
冉小龙,[Issue:5669] Fix the,Fix the ledgerID,the ledgerID not
Matteo Merli,Added `zookeeper.snapshot.trust.empty=true` for,`zookeeper.snapshot.trust.empty=true` for ZK,for ZK 3.5
lipenghui,Fix read 0,read 0 entries,0 entries cause
lipenghui,Fix wrong redelivery,wrong redelivery count,redelivery count while
Anonymitaet,[Blog] Pulsar milestone,Pulsar milestone celebration—200,milestone celebration—200 contributors!
Nathan Mills,[functions] Added default,Added default metrics,default metrics for
lipenghui,Fix topic owner,topic owner check,owner check while
Ali Ahmed,Downgrade maven for,maven for license,for license check
jinghuijuan11,log,,
Rommel Haynes,Automatically backed up,backed up by,up by Learn
chosim-dev,bossDB,,
minebosstime,bossDB,,
github username,made intervals,intervals,
Adam,Update README.md,README.md,
Bangqi Xu,conservative MACRO PA;,MACRO PA; initial,PA; initial fix
Samuel Austen,nav icons,icons,
Samuel Austen,no message,message,
Michael Wiinberg Olesen,Nuget upgrades -,upgrades - ROP,- ROP
Michael Wiinberg Olesen,Version upgrade,upgrade,
Michael W. Olesen,Merge pull request,pull request #12,request #12 from
chosim-dev,bossDB,,
Zoom.Quiet,upgrade(planet) auto by,auto by crontab,by crontab from
Zachary Spector,"Add another test,","another test, for","test, for compound"
Dr. Steven Mielke,Update _config.yml,_config.yml,
Cameron Dart,p9 outline,outline,
Cameron Dart,ans,,
Cameron,Merge pull request,pull request #3,request #3 from
Kevin Nowaczyk,Field is an,is an array,an array key
devonzuegel,Cleanup,,
Bjoern Kerler,Port to gnuradio,to gnuradio 3.8,gnuradio 3.8 and
seatacken,working on new,on new counter,new counter functionality
Blandine12,Merge pull request,pull request #24,request #24 from
harlenlopez,Merge branch 'master',branch 'master' into,'master' into lab2
taylor,More changes to,changes to enable,to enable proper
Brian Gonzales,January Home KRS,Home KRS Essentials,KRS Essentials
qcu87z,grr,,
Pierre Lannoy,Initializes dev version.,dev version.,version.
Guangde Wang,leetcode198 is equivalent,is equivalent to,equivalent to leetcode
Franck Nijhof,Migrate input_* tests,input_* tests from,tests from coroutine
HomeAssistant Azure,[ci skip] Translation,skip] Translation update,Translation update
Ricardo Macedo,adicionando in-memory-database de,in-memory-database de categorias,de categorias
Edwin Lee,Major change to,change to memory,"to memory management,"
xam4lor,Started adding authors,adding authors,authors
Alex,refactored,,
Alex,all passing,passing,
SockPuppetry,Travis CI build,CI build 187081,build 187081
Bitnami Bot,9.6.16-debian-9-r39 release,release,
Abe Winter,fraud draft,draft,
github username,modify date output,date output format,output format for
Darien,Add files via,"files via upload

First","via upload

First official"
GitClock,update time,time,
Melanie McGlynn,Automatically backed up,backed up by,up by Learn
Eqrly,Add files via,files via upload,via upload
jenkins-x-bot,Publishing files for,files for path,for path jenkins-x/logs/cb-kubecd/environment-pr-120-102-gke-upgrade-dev/PR-2/1.log
olos00,Commit adds solutions,adds solutions to,solutions to fizzbuzz
aqi-moscun,Update File at:,File at: 2020-01-01,at: 2020-01-01 00:42:50
Albert,Update to use,"to use send_json
1.","use send_json
1. Add"
crispycat,"Upload 0.6.0

New decade!","0.6.0

New decade!",decade!
acat122,"Update README.md

And mention","README.md

And mention moon",mention moon tacos
Rafael Moreno,salto de linea,de linea,linea
Brokalys bot,"Monthly data (house,","data (house, sell,","(house, sell, latvia):"
Benjamin Staneck,Fix for jumping,for jumping header,jumping header
hao,finish image conv,image conv,conv
Marc Fors,Controller for a,for a Web,a Web service
wigforss,[maven-release-plugin] prepare release,prepare release java-8-base-0.175,release java-8-base-0.175
Andrew Capp,Automatically backed up,backed up by,up by Learn
nnntest,後で投稿されたものが先に表示されるように修正,,
Tim Kim,more polished,polished,
bearjung,bossDB,,
Mark Martynov,cleanup,,
Conor R,mqtt,,
Jeff Lee,day16b: finish,finish,
Inna Nikolenko,Added new relic,new relic and,relic and setting
tinymark,Update blog,blog,
Banks T,"CI setup (#2)

*","setup (#2)

* Create","(#2)

* Create gradle.yml

*"
Emo2560,Update RPC.py,RPC.py,
Diego Rico,Added custom styling,custom styling,styling
TAC,Site updated at,updated at 2020-01-01,at 2020-01-01 00:44:17
Brandon Lee,up,,
synzen,Update README.md,README.md,
shuoyan,update,,
RhXKGxbwQHmTREDU,39424424,,
Renovate Bot,chore(deps): update dependency,update dependency conventional-changelog-cli,dependency conventional-changelog-cli to
Renovate Bot,chore(deps): lock file,lock file maintenance,file maintenance
jason chen,jp voc,voc,
jason chen,add jp voc,jp voc %,voc % zen
wigforss,[maven-release-plugin] prepare for,prepare for next,for next development
Sascha Wander,added kitenet-mr git,kitenet-mr git ebuild,git ebuild
Victor Costa,Login page layout,page layout,layout
bitbaybot,update,,
AdrianValenciaSantos,Final updates for,updates for mobile,for mobile format.
